first_name,last_name,album_title,notes
NULL,10cc,Sheet Music,
NULL,Allman Brothers,Fantastic Allman Brothers,
Emanuel,Ax,Chopin,
Gato,Barbieri,Yesterdays,
The,Beatles,Help!,
The,Beatles,Abbey Road,
The,Beatles,Sgt. Pepper's Lonely Hearts Club Band,
The,Beatles,A Hard Day's Night,
The,Beatles,Greatest Hits,
The,Beatles,Rubber Soul,
The,Beatles,Revolver,
The,Beatles,White Album,
Arturo,Benedetti Michelangeli,Debussy: Images,
Dhar,Braxton,Jump Back (Set Me Free),
Jimmy,Buffet,Volcano,
Gary,Burton,Chicken,Crystal Silence,
The,Cars,Panorama,
The,Cars,Shake It Up,
The,Cars,The Cars,
Jo Ann,Castle,Tiger Rag,
Harry,Chapin,Greatest Stories Live,
Harry,Chapin,Short Stories,
Harry,Chapin,Heads & Tales,
Harry,Chapin,On the Road to Kingdom Come,
Harry,Chapin,Living Room Suite,
Harry,Chapin,Verities & Balderdash,
Harry,Chapin,Legends of the Lost and Found,
Harry,Chapin,Living Room Suite,Duplicate copy
Harry,Chapin,Portrait Gallery,
Harry,Chapin,Verities & Balderdash,Duplicate copy
Harry,Chapin,Sniper and Other Love Songs,
Harry,Chapin,Dance Band on the Titanic,
Harry,Chapin,Greatest Stories Live,Duplicate copy
Harry,Chapin,Sequel,
NULL,Chester & Lester,Guitar Monsters,
NULL,Chester & Lester,Chester & Lester,
The,Chieftains,In Ireland,
Aldo,Ciccolini,Piano Music of Erik Satie,
Stanley,Clarke,School Days,
The,Clash,London Calling,
Vassar,Clements,The Bluegrass Session,
Vassar,Clements,Hillbilly Jazz,
Vassar,Clements,Hillybilly Jazz Rides Again,
Elvis,Costello,My Aim Is True,
NULL,Crystal Castles,Crystal Castles,
NULL,Daft Punk,Discovery,
The,David Grisman Quintet,The David Grisman Quintet,
NULL,De La Soul,Me, Myself, and I,
NULL,Death Grips,No Love Deep Web,
NULL,Del the Funky Homo Sapien,Wrong Place, Wrong Time,
NULL,Dire Straits,Communique,
NULL,Dire Straits,Brothers in Arms,
NULL,Dire Straits,Making Movies,
NULL,Dr. Dre,2001,
NULL,Dr. Dre,The Chronic,
NULL,Earth, Wind, & Fire,I Am,
Robert,Ellis Orrall,Fixation,
NULL,Ensemble Nipponia,Kabuki & Other Traditional Music,
NULL,Explosions in the Sky,The Earth Is Not a Cold Dead Place,
NULL,Fleetwood Mac,Fleetwood Mac,
NULL,Fleetwood Mac,Rumours,
Art,Garfunkel,Fate for Breakfast,
NULL,Grand Funk Railroad,Closer To Home,
NULL,Grand Funk Railroad,We're An American Band,
NULL,Grand Funk Railroad,Grand Funk,
NULL,Grand Funk Railroad,On Time,
Stephane,Grappelli,Satin Doll,
Stephane,Grappelli,The Queen Elizabeth Hall London,
NULL,Grateful Dead,Europe '72,
David,Grisman,Hot Dawg,
David,Grisman,Quintet '80,
Jim,Hall,Concierto,
Francoise,Hardy,Tous Les Garcons et Les Filles,
Jimi,Hendrix,Midnight Lightning,
Jimi,Hendrix,Axis: Bold as Love,
Jimi,Hendrix,Crash Landing,
Jimi,Hendrix,The Essential Jimi Hendrix,
Jimi,Hendrix,Electric Ladyland,
Dan,Hicks,It Happened One Bite,
Alfred,Hitchcock,Music to be Murdered By,
Billie,Holiday,Solitude,
NULL,If,If,
The,Infested,Myths, Lies, and Hypocrites,
Charles,Ives,Sonatas for Violin & Piano,
The,J. Geils Band,Blow Your Face Out,
NULL,Jack's Mannequin,Everything In Transit,
Joe,Jackson,Look Sharp,
Keith,Jarrett,The Koln Concert,
NULL,Jethro Tull,Living in the Past,
NULL,Jethro Tull,Songs from the Wood,
NULL,Jethro Tull,Aqualung,
NULL,Jethro Tull,Thick as a Brick,
NULL,Jethro Tull,A Passion Play,
NULL,Jethro Tull,Stand Up,
NULL,Jethro Tull,This Was,
NULL,Jethro Tull,Benefit,
Rickie Lee,Jones,Rickie Lee Jones,
Rickie Lee,Jones,Pirates,
NULL,Joe Jones,Live in Las Vegas,
NULL,Kenny Rogers & The First Edition,Greatest Hits,
Wiz,Khalifa,O.N.I.F.C.,
The,Kids from Wisconsin,1977 State Fair,
The,Kids from Wisconsin,1980 State Fair,
Nat,King Cole,The Immortal,
The,Knack,Get the Knack,
Mark,Knopfler,Local Hero,
NULL,Kraftwerk,Autobahn,
NULL,Led Zeppelin,House of the Holy,
NULL,Led Zeppelin,Led Zeppelin III,
NULL,Led Zeppelin,Led Zeppelin,
NULL,Led Zeppelin,Physical Graffiti,
NULL,Led Zeppelin,Led Zeppelin II,
NULL,Little Feat,Feats Don't Fail Me Now,
NULL,Little Feat,Let It Roll,
NULL,Little Feat,The Last Record Album,
NULL,Little Feat,Waiting for Columbus,
NULL,Little Feat,Down on the Farm,
Art,Herb Alpert & the Tijuana Brass,The Lonely Bull,
Wilbert,Longmire,Champagne,
NULL,Mastodon,Blood Mountain,
Joni,Mitchell,Blue,
Joni,Mitchell,Court and Spark,
Joni,Mitchell,Miles of Aisles,
The,Moody Blues,Every Good Boy Deserves Favour,
The,Moody Blues,On the Threshold of a Dream,
NULL,Mott the Hoople,Greatest Hits,
Norman,Nardini,Love Dog,
Garrick,Ohlsson,Chopin: The Complete Nocturnes,
Roy,Orbison,The Very Best of Roy Orbison,
NULL,Outkast,Aquemini,
The,Persuasions,Comin' At Ya,
Oscar,Peterson,Satch and Josh…. Again,
Oscar,Peterson,Satch and Josh,
NULL,Pink Floyd,The Wall,
NULL,Pink Floyd,Animals,
NULL,Pink Floyd,Dark Side of the Moon,
NULL,Poco Cantamos,Poco Cantamos,
The,Police,Synchronicity,
The,Police,Reggatta de Blanc,
Maurizio,Pollini,Chopin: Etudes OP. 10 & OP. 25,
Maurizio,Pollini,Chopin: 24 Preludes OP. 28,
The,Pretenders,Pretenders II,
NULL,Lui,Pui-yuen,Floating Petals…,
The,Quicksilver Messenger Service,Happy Trails,
NULL,Radiohead,Pablo Honey,
NULL,Ratatat,Classics,
NULL,Ratatat,LP4,
NULL,Ratatat,Ratatat,
NULL,Ratatat,Magnifique,
The,Red Clay Ramblers,Merchants Lunch,
NULL,Renissance,Novella,
Slim,Rootboy,Rootboy Slim & the Sex ChangeBand with The Rootettes,
NULL,Slim,Rootboy,Zoom,
Artur,Rubinstein,The Brahms I Love,
Artur,Rubinstein,Chopin: The Mazurkas,
Artur,Rubinstein,Choping Sonatas,
Artur,Rubinstein,Moonlight Sonata,
NULL,Santana,Santana,
Peter,Serkin,Peter Serkin Plays Chopin,
NULL,Sia,Music,
NULL,Sia,1000 Forms of Fear,
NULL,Simon and Garfunkel,Bridge Over Troubled Water,
NULL,Simon and Garfunkel,Parsley, Sage, Rosemary, and Thyme,
Paul,Simon,Still Crazy After All These Years,
Paul,Simon,There Goes Rhymin' Simon,
The,Smiths,Louder Than Bombs,
NULL,Spirit,The Family That Plays Together,
NULL,Steely Dan,Gaucho,
NULL,Steely Dan,Greatest Hits,
NULL,Steely Dan,Katy Lied,
NULL,Steely Dan,Aja,
Cat,Stevens,Greatest Hits,
Cat,Stevens,Foreigner,
NULL,Tame Impala,Currents,
The,Three Suns,At the Candlelight Café,
NULL,Traffic,Best of Traffic,
NULL,Traffic,John Barleycorn Must Die,
The,Turtles,Happy Together,
NULL,Various,The Greatest Jazz Concert in the World,
NULL,Various,Dances of the Renaissance,
NULL,Various,Gothic and Renaissance Dances,
NULL,Various,West Side Story Soundtrack,
NULL,Various,20 Rockin' Originals,
NULL,Various,West Side Story Movie Soundtrack,
NULL,Various,The Sound of Music Soundtrack,
NULL,Various,Bach: The Complete Flute Sonatas,
Tom,Waits,Small Change,
Tom,Waits,Nighthawks at the Diner,
The,Who,Who's Next,
Vaughan,Williams,Vaughan Williams Concert,
"Weird Al",Yankovic,In 3-D,
Frank,Zappa,Hot Rats,
Frank,Zappa,The Grand Wazoo,
Frank,Zappa,Overnite Sensation,Duplicate copy
Frank,Zappa,Lumpy Gravy,
Frank,Zappa,The Grand Wazoo,Duplicate copy
Frank,Zappa,Waka/Jawaka,
Frank,Zappa,In New York,
Frank,Zappa,You Are What You Is,
Frank,Zappa,Bongo Fury,
Frank,Zappa,The Man From Utopia,
Frank,Zappa,Burnt Weeny Sandwich,
Frank,Zappa,One Size Fits All,
Frank,Zappa,Chunga's Revenge,
Frank,Zappa,Freak Out!,
Frank,Zappa,200 Motels,Bootleg
Frank,Zappa,Uncle Meat,
Frank,Zappa,Zoot Allures,
Frank,Zappa,Roxy & Elsewhere,
Frank,Zappa,Joe's Garage Act I,
Frank,Zappa,Just Another Band From L.A.,
Frank,Zappa,We're Only In It For the Money,
Frank,Zappa,Apostrophe,
Frank,Zappa,Fillmore East / June 1971,
Frank,Zappa,Sleep Dirt,
Frank,Zappa,Sheik Yerbouti,
Frank,Zappa,Orchestral Favorites,
Frank,Zappa,Weasels Ripped My Flesh,
Frank,Zappa,Joe's Garage Acts II & III,
Frank,Zappa,Studio Tan,
Frank,Zappa,Absolutely Free,
Frank,Zappa,200 Motels,
Warren,Zevon,Excitable Boy,
Warren,Zevon,Bad Luck Streak in Dancing School,
